user_i,tweet_id,user_j
twitter/1011008340367953920,twitter/1462168236498292738,twitter/1011008340367953920
twitter/1011008340367953920,twitter/1462168236498292738,twitter/1011008340367953920
twitter/1630865077762138112,twitter/1661943427385393152,twitter/1630865077762138112
twitter/1630865077762138112,twitter/1661943427385393152,twitter/1630865077762138112
twitter/1733074634117951488,twitter/1797276533867856100,twitter/1739893930970296320
twitter/1733074634117951488,twitter/1797276533867856100,twitter/1739893930970296320
twitter/115701144,twitter/1823376041588478310,twitter/2534375061
twitter/115701144,twitter/1823376041588478310,twitter/2534375061
twitter/1265111322586316801,twitter/1824740538203177240,twitter/1763399553108398080
twitter/1265111322586316801,twitter/1824740538203177240,twitter/1763399553108398080
twitter/1175398772391723008,twitter/1850903863345197565,twitter/1175398772391723008
twitter/1175398772391723008,twitter/1850903863345197565,twitter/1175398772391723008
twitter/1502185069590757376,twitter/1859359340211417508,twitter/1502185069590757376
twitter/1502185069590757376,twitter/1859359340211417508,twitter/1502185069590757376
twitter/1269666360969265152,twitter/1860857539883118732,twitter/4871096265
twitter/1269666360969265152,twitter/1860857539883118732,twitter/4871096265
twitter/4064434513,twitter/1869775388760752589,twitter/913660617348673536
twitter/4064434513,twitter/1869775388760752589,twitter/913660617348673536
twitter/703676662697717761,twitter/1896987659555455320,twitter/813311526266437632
twitter/703676662697717761,twitter/1896987659555455320,twitter/813311526266437632
twitter/1404556131452653569,twitter/1899660534309609554,twitter/1463328397669519362
twitter/1404556131452653569,twitter/1899660534309609554,twitter/1463328397669519362
twitter/1427320507792171034,twitter/1899660534309609554,twitter/1463328397669519362
twitter/1404556131452653569,twitter/1899660534309609554,twitter/1427320507792171034
twitter/1427320507792171034,twitter/1899660534309609554,twitter/1463328397669519362
twitter/1463328397669519362,twitter/1899660534309609554,twitter/1427320507792171034
twitter/1463328397669519362,twitter/1899660534309609554,twitter/1427320507792171034
twitter/1404556131452653569,twitter/1899660534309609554,twitter/1463328397669519362
twitter/21315931,twitter/1908607400753672205,twitter/21315931
twitter/21315931,twitter/1908607400753672205,twitter/21315931
twitter/111014459,twitter/894727241745154048,twitter/852619816254939136
twitter/111014459,twitter/894727241745154048,twitter/852619816254939136
twitter/915054058037059584,twitter/962181740201615360,twitter/915054058037059584
twitter/915054058037059584,twitter/962181740201615360,twitter/915054058037059584
