id_i,msg_id
twitter/500153925,twitter/1873852597440008294
twitter/21315931,twitter/1908687806614167676
twitter/1175221,twitter/1899808854881264067
twitter/116529568,twitter/1933930613838368988
twitter/147476095,twitter/657414407719399425
twitter/1129279740068737024,twitter/1723616926583185703
twitter/1621258295368630272,twitter/1897763053942505526
twitter/962986011256004608,twitter/1403305524037361666
twitter/24181760,twitter/1899121491729650164
twitter/14844867,twitter/1908612028643582065
twitter/744150240136044544,twitter/1733823386835730878
twitter/15631093,twitter/1634030242078814208
twitter/1618274101738569729,twitter/1844412389980242139
twitter/116529568,twitter/1933930899411698116
twitter/1588632865406738432,twitter/1900139091079090543
twitter/744150240136044544,twitter/1529598887052328966
twitter/1682637075085164544,twitter/1850131653672272293
twitter/17434665,twitter/1929293801178509764
twitter/1720545154384244736,twitter/1888946500597907531
twitter/913660617348673536,twitter/1870006760918155609
twitter/1773101145767972864,twitter/1863507343826108544
twitter/1513322040,twitter/1860091238713819148
twitter/15201979,twitter/1523293259505623041
twitter/46315077,twitter/1899794485963321548
twitter/29575129,twitter/1707085424563253511
twitter/1116313997463183363,twitter/1850602978354368787
twitter/1305977989,twitter/1873758531520025048
twitter/1759855218722799616,twitter/1872059634489704794
twitter/45741827,twitter/1196636807728791552
twitter/861727430,twitter/1929202324066476062
twitter/1634365835757367296,twitter/1901785717657018615
twitter/44748523,twitter/1838968312673243633
twitter/1186979575,twitter/1104402096252694528
twitter/1634365835757367296,twitter/1901782388612759563
twitter/1455821491543683072,twitter/1873809169469628854
twitter/436972374,twitter/1572106894788927488
twitter/1320503314753056770,twitter/1849782892341420254
twitter/15577507,twitter/1703551761129386334
twitter/1483251389035958273,twitter/1858524374199927213
twitter/1308936076724117506,twitter/1888942482941170078
twitter/1656128821287071744,twitter/1905646464212078707
twitter/1629035943054438400,twitter/1860609613458219021
twitter/885461702912860161,twitter/1586589620145471489
twitter/792583894197567489,twitter/1867435861891330362
twitter/921272455691321344,twitter/1843559691399639350
twitter/891119762847277056,twitter/1824140978380308540
twitter/1696994328281825280,twitter/1833706382429757874
twitter/1483251389035958273,twitter/1858524322685493393
twitter/1012426446,twitter/1874505897516691540
twitter/838033969954320385,twitter/1712280231539523834
twitter/2470055959,twitter/1299739843325505539
