id_i,msg_id
twitter/1828520552585158656,twitter/1879037666454573114
twitter/1663997804602355713,twitter/1928364254291182012
twitter/1656474004318715904,twitter/1818936408360534063
twitter/979752282,twitter/1520142866814685186
twitter/15499905,twitter/1651920462602174464
twitter/1685873604,twitter/1725284885969994155
twitter/1663997804602355713,twitter/1928367498421780586
twitter/16850171,twitter/1787854924749099401
twitter/1404556131452653569,twitter/1821737671812886640
twitter/14831475,twitter/1572232346815893504
twitter/1830938551107932160,twitter/1899262915334570473
twitter/52468378,twitter/1299630400285732865
twitter/140487956,twitter/1873837188166684688
twitter/993199663,twitter/1900165290966532312
twitter/1383108681135378432,twitter/1857887179680195064
twitter/1464032947120619521,twitter/1838893099633746010
twitter/1618274101738569729,twitter/1692927705514172654
twitter/135813522,twitter/1819366447837335874
twitter/1619878405,twitter/1925300908734267438
twitter/1729107578917957632,twitter/1805628030775095613
twitter/19718279,twitter/1571981360906080257
twitter/1797536627625238528,twitter/1833026589090832819
twitter/1588632865406738432,twitter/1900175932230599059
twitter/36163784,twitter/1721713383781564561
twitter/1596449132964708354,twitter/1844326839545893116
twitter/156972610,twitter/1871864086042185973
twitter/58826629,twitter/1853835480694947943
twitter/705650882,twitter/1866165090443038903
twitter/899233803851276288,twitter/1803661971931209983
twitter/1500248654317195265,twitter/1869534925084631189
twitter/1611330764888739841,twitter/1619499729016221696
twitter/1596449132964708354,twitter/1836266854819745848
twitter/1452733698164596741,twitter/1781330380613673067
twitter/263424039,twitter/1846762902172111104
twitter/1283409799191752707,twitter/1927611486752448902
twitter/1804819293932318721,twitter/1815173255634026666
twitter/1733074634117951488,twitter/1829444450298265815
twitter/2534375061,twitter/1823424612589281395
twitter/1081878133664612352,twitter/1888082267110613077
twitter/1263524305977122823,twitter/1806372298913407341
twitter/1696994328281825280,twitter/1833709745942700268
twitter/899233803851276288,twitter/1786333654429409521
twitter/1539499688071938048,twitter/1823898156515647672
twitter/1452733698164596741,twitter/1781330588143644799
twitter/3321689336,twitter/1874527335216787839
twitter/1562935142,twitter/1795835166515921142
twitter/409548427,twitter/1704162844445692042
twitter/39366506,twitter/1205356610488430592
twitter/58826629,twitter/1853839848412447093
twitter/1520773345532338176,twitter/1899703472410313211
